,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Desigualdad_1km,Desigualdad_10km,Diferencia,P1ST,Desigualdad_5km,Desigualdad_15km,Desigualdad_promedio
36,36,36,36,36,36,37,AR: Corrientes-Goya,-29.139722222222225,-59.263333333333335,-29.139722222222225,-59.263333333333335,80288,48367,25,49,12,0.4425578713417053,0.4991592764854431,,3.2,0.4675484,0.48212257,44.25578689575195
37,37,37,37,37,37,38,AR: Misiones-Puerto Iguazu,-25.598888888888887,-54.57333333333334,-25.598888888888887,-54.57333333333334,83567,67001,29,62,30,0.43977418541908264,0.5041224956512451,,2.6,0.5101557,0.4875132,43.9774169921875
38,38,38,38,38,38,39,AR: Misiones-Leandro N. Alem,-27.566666666666663,-55.333333333333336,-27.566666666666663,-55.333333333333336,33422,22039,16,1,1,0.46860674023628235,0.4466852843761444,,3.0,0.49040583,0.44697136,44.66852951049805
39,39,39,39,39,39,40,AR: Formosa-Las Lomitas,-24.7,-60.583333333333336,-24.7,-60.583333333333336,3194,2659,21,1,1,0.46187838912010193,0.4707441031932831,,2.7,0.47789446,0.48154107,46.18783950805664
40,40,40,40,40,40,41,AR: Chaco-Puerto Vilelas,-27.51083333333333,-58.94166666666666,-27.51083333333333,-58.94166666666666,7782,798,23,2,2,0.4759046137332916,0.49022603034973145,,3.1,0.5007968,0.5147271,47.59046173095703
41,41,41,41,41,41,42,AR: Cordoba-San Roque,-31.37333333333333,-64.4675,-31.37333333333333,-64.4675,10746,4162,21,8,3,0.45501840114593506,0.494947612285614,,2.8,0.47382143,0.47378463,45.50183868408203
42,42,42,42,42,42,43,AR: Neuquen-Neuquen,-38.95138888888889,-68.05888888888889,-38.95138888888889,-68.05888888888889,139406,51659,26,70,41,0.4670950472354889,0.4485529363155365,,3.4,0.45319134,0.48441684,44.85529327392578
43,43,43,43,43,43,44,AR: Chubut-Comodoro Rivadavia,-45.8625,-67.49388888888889,-45.8625,-67.49388888888889,175022,156439,12,99,27,0.45793136954307556,0.5371455550193787,,2.7,0.550351,0.49181816,45.79313659667969
44,44,44,44,44,44,45,AR: Santa Cruz-Rio Gallegos,-51.6225,-69.21805555555555,-51.6225,-69.21805555555555,34963,31606,16,32,8,0.45736435055732727,0.4903232455253601,,2.7,0.5009041,0.5077308,45.73643493652344
45,45,45,45,45,45,46,AR: Tierra del Fuego-Rio Grande,-53.7875,-67.70972222222223,-53.7875,-67.70972222222223,21372,2128,51,1,1,0.48544514179229736,0.5527070760726929,,3.3,0.5584629,0.5690835,48.54451370239258
46,46,46,46,46,46,47,AR: Santa Cruz-Caleta Olivia,-46.44777777777777,-67.5225,-46.44777777777777,-67.5225,27437,23204,7,3,2,0.4565097689628601,0.5378121137619019,,3.0,0.52189994,0.4461206,44.612060546875
47,47,47,47,47,47,48,AR: Rio Negro-Sierra Grande,-41.59166666666667,-65.33916666666666,-41.59166666666667,-65.33916666666666,21236,21473,7,1,1,0.4592048227787018,0.43493542075157166,,3.3,0.4563991,0.43917564,43.4935417175293
48,48,48,48,48,48,49,AR: Mendoza-Guaymallen,-32.89083333333333,-68.82694444444444,-32.89083333333333,-68.82694444444444,44292,31053,16,65,24,0.46719253063201904,0.426518976688385,,3.2,0.41296372,0.42805588,41.29637145996094
49,49,49,49,49,49,50,AR: Chubut-Rawson,-43.3,-65.10222222222221,-43.3,-65.10222222222221,27373,7200,29,12,9,0.48359397053718567,0.506464958190918,,2.6,0.5221641,0.5131936,48.359397888183594
50,50,50,50,50,50,51,AR: San Luis-Villa Mercedes,-33.675555555555555,-65.45777777777778,-33.675555555555555,-65.45777777777778,20198,3423,66,25,15,0.4632766842842102,0.4758550822734833,,3.6,0.43131867,0.46918342,43.131866455078125
51,51,51,51,51,51,52,AR: San Juan-Chimbas,-31.487222222222226,-68.52666666666667,-31.487222222222226,-68.52666666666667,41535,47630,7,30,8,0.5075722932815552,0.46573829650878906,,3.2,0.4648161,0.45193073,45.19307327270508
52,52,52,52,52,52,53,AR: Mendoza-Lujan de Cuyo,-33.0,-69.33333333333333,-33.0,-69.33333333333333,3890,3702,35,1,1,0.5045897364616394,0.49611231684684753,,3.4,0.5066863,0.48681194,48.68119430541992
53,53,53,53,53,53,54,AR: La Rioja-Chamical,-30.25,-65.83333333333333,-30.25,-65.83333333333333,12300,2494,8,1,1,0.3853079080581665,0.43421950936317444,,3.5,0.4031021,0.4106082,38.530792236328125
54,54,54,54,54,54,55,AR: Mendoza-Perdriel,-33.07472222222223,-68.88833333333334,-33.07472222222223,-68.88833333333334,57348,66714,3,6,4,0.5136505365371704,0.5202587842941284,,3.5,0.51202714,0.43597057,43.5970573425293
55,55,55,55,55,55,56,AR: La Rioja-Nonogasta,-29.305,-67.50222222222222,-29.305,-67.50222222222222,12236,2516,25,27,3,0.4930058717727661,0.4929567873477936,,3.2,0.4720552,0.4572787,45.72787094116211
56,56,56,56,56,56,57,AR: Cordoba-Cordoba,-31.41333333333333,-64.18083333333334,-31.41333333333333,-64.18083333333334,115266,40898,17,259,84,0.4853428304195404,0.42545434832572937,,3.025,0.42569467,0.46251357,42.545433044433594
57,57,57,57,57,57,58,AR: Santa Fe-Gran Rosario,-32.975,-60.681666666666665,-32.975,-60.681666666666665,46610,46361,9,15,4,0.4199239909648895,0.5097242593765259,,3.125,0.47581655,0.47848162,41.99239730834961
58,58,58,58,58,58,59,AR: Santa Fe-Santa Fe,-32.946666666666665,-60.63916666666667,-32.946666666666665,-60.63916666666667,128698,63659,10,264,80,0.4996910095214844,0.47925034165382385,,3.25,0.47746712,0.50952274,47.74671173095703
